Nick Name,ชื่อภาษาไทย,Name,Club / สโมสร,Position,Date Birth,Year brith,POS,Goal
Ampare,ณัฐวดี ปร่ำนาค,NUTWADEE PRAMNAK,BGC-College of Asian Scholars,Attacking Midfield / กองกลางตัวรุก,2000/10/9,2000,MF,0
Ann,สกุณา เสนะบุตา,SAKUNA SENABUTH,Bangkok FC,Center back / เซ็นเตอร์,1995/9/8,1995,DF,0
Anna,อานาลีน่า สีสันงาน,ANNALINA SEESANNGAM,Cadiff City Ladie,Goalkeeper / ผู้รักษาประตู,,2006,,0
Aum,ณัฐชา แก้วอันตา,NATCHA KAEWANTA,Bangkok FC,Left Back / เเบ็คซ้าย,2006/12/3,2006,MF,0
Baimaii,สุนิสา สุขศรี,SUNISA SUKSRI,BGC-College of Asian Scholars,Left Wing / ปีกซ้าย,,2005,MF,0
Baimon,จณิสตา จินันทุยา,JANISTA JINANTUYA,Bangkok FC,Left Wing / ปีกซ้าย,2003/9/9,2003,FW,4
Beam,ทิชานันท์ สดชื่น,THICHANAN SODCHUEN,BGC-College of Asian Scholars,Goalkeeper / ผู้รักษาประตู,,2003,GK,0
Bell,จิดาภา พารา,JIDAPA PHARA,BGC-College of Asian Scholars,Goalkeeper / ผู้รักษาประตู,2003/4/11,2003,,0
Cartoon,พิชญธิดา มะโนวัง,PICHAYATIDA MANOWANG,Bangkok FC,Midfiled / กองกลาง,2006/11/17,2006,MF,2
Choomphu,เบญญาภา สิงใส,BENYAPA SINGSAI,Chonburi Women Sports School,Goalkeeper / ผู้รักษาประตู,,2009,GK,0
Choompu,ปวริษา หอมยามเย็น,PAWARISA HOMYAMYEN,Chonburi Women FC,Goalkeeper / ผู้รักษาประตู,2004/1/31,2004,GK,0
Dao,นวลอนงค์ หมื่นศรี,NUALANONG MUENSRI,Nakhonsri Sports School,,2004/2/28,2004,,0
Face,ชาลิสา ภูเงิน,CHALISA PHONGOEN,Arma & Masuk,Goalkeeper / ผู้รักษาประตู,2004/7/15,2004,,0
Fahsai,ฟ้าสว่าง เกตุแก้ว,FASAWANG KAETKEAW,Chonburi Women FC,,2003/9/22,2003,,0
Faii,ธมลวรรณ รักษาภักดี,TAMONWAN RAKSAPHAKDI,BGC-College of Asian Scholars,Left Back / เเบ็คซ้าย,,2000,DF,0
Fern,อชิรญา ยิ่งสกุล,Achiraya Yingsakul,Phranakorn Football Club Women,Defensive Midfiled / กองกลางตัวรับ,2007/12/13,2007,,0
Fresh,สุภาพร อินทรประสิทธิ์,SUPAPRON INTARAPRASIT,Chonburi Women FC,Center back / เซ็นเตอร์,2004/2/18,2004,DF,0
Gam,ชลฐิชา ปัญญารุ้ง,CHONTICHA PANYARUNG,Khon Kean Sports School,Goalkeeper / ผู้รักษาประตู,2008/12/30,2008,,0
Godna,แพรวา นุดนาบี,PREAWA NUDNABEE,Bangkok FC,"Right Back / เเบ็คขวา,Attacking Midfield / กองกลางตัวรุก",2004/6/27,2004,MF,0
Grace,เกรซ อเล็กซานดรา เถา,GRACE ALEXANDRA THAO,University of Central Florida,,,2005,,0
Imm,วิรัญญา แกว่นกสิกรรม,WIRUNYA KWAENKASIKARM,Chonburi Women FC,Forward / กองหน้า,2005/7/7,2005,FW,5
Jame,กันติศา อินชำนาญ,KANTISA INCHAMNAN,Chonburi Women FC,Left Back / เเบ็คซ้าย,,2005,DF,0
Juleliee,จูลลี่ กวานนืง,JULIE GROENNING,Wasatch SC,Attacking Midfield / กองกลางตัวรุก,,2007,MF,0
Kaka,ปลื้มใจ สนธิสวัสดิ์,PLUEMJAI SONTISAWAT,Chonburi Women FC,Midfiled / กองกลาง,2003/7/20,2003,MF,0
Kat,ศรุดา ก้อนฝ้าย,SARUDA KONFAY,Bangkok FC,Center back / เซ็นเตอร์,1999/1/9,1999,,0
Kate,กุลิสรา ลิ้มปวะนิช,KURISARA LIMPAWANICH,BGC-College of Asian Scholars,Forward / กองหน้า,,2009,FW,0
Looktan,ลสิตา แถวเบา,RASITA TAOBAO,Chonburi Women FC,Left Wing / ปีกซ้าย,,2007,MF,0
Mai,ธนีกานต์ แดงดา,TANEEKARN DANGDA,Nagano Parceiro Women's,Forward / กองหน้า,,1992,FW,0
May,แมดดิสัน เจตน์ แคสทีน,MADISON JADE CASTEEN,NC Courage,Right Wing / ปีกขวา,,2007,FW,3
Meow,นิภาวรรณ ปัญโญสุข,NIPAWAN PANYOSUK,Chonburi Women FC,Defensive Midfiled / กองกลางตัวรับ,1995/3/15,1995,,0
Ming,อรวรรณ คีรีสุวรรณกุล,ORAWAN KEEREESUWANNAKUL,Chonburi Women FC,Right Back / เเบ็คขวา,1997/6/30,1997,DF,0
Mint,กัญญาณัฐ เชษฐบุตร,KANYANAT CHETTHABUTR,BGC-College of Asian Scholars,Forward / กองหน้า,1999/9/24,1999,FW,0
Miw,ศิลาวรรณ อินต๊ะมี,SILAWAN INTAMEE,Taichung Blue Whale,Left Wing / ปีกซ้าย,1994/1/21,1994,,0
Mo,ทิพกฤตา อ่อนสมัย,TIPKRITTA ONSAMAI,BGC-College of Asian Scholars,Center back / เซ็นเตอร์,2000/6/17,2000,,0
Mook,ชัชวัลย์ รอดทอง,CHATCHAWAN RODTHONG,Bangkok FC,"Left Back / เเบ็คซ้าย,Midfiled / กองกลาง,Defensive Midfiled / กองกลางตัวรับ",2002/6/22,2002,MF,2
Muay,ปณิฏฐา จีรัตนะภวิบูล,PANITTHA JEERATANAPAVIBUL,Guangxi Pingguo Football Club,Center back / เซ็นเตอร์,2001/11/15,2001,DF,1
Nan,ปวริศา เกรัมย์,PAWARISA KERAM,Kasem Bundit,Left Back / เเบ็คซ้าย,2006/2/6,2006,DF,0
Nancy,,,,Left Back / เเบ็คซ้าย,,,,0
Natalia,,,,Forward / กองหน้า,,,,0
Ned,,,Bangkok FC,"Right Back / เเบ็คขวา,Right Wing / ปีกขวา",,,,0
Noey,ภัทรนันท์ อุปชัย,PATTARANAN AUPACHAI,Chonburi Women FC,Right Wing / ปีกขวา,2002/7/9,2002,FW,3
Nong,กาญจนธัช พุ่มศรี,KARNJANATHAT PHOMSRI,Kasem Bundit,Right Wing / ปีกขวา,,2003,FW,9
Nong,,,BGC-College of Asian Scholars,Goalkeeper / ผู้รักษาประตู,,,,0
Noon,หนึ่งฤทัย สรหงษ์,NUENGRUTHAI SORAHONG,Bangkok FC,Goalkeeper / ผู้รักษาประตู,,2001,GK,0
Nut,ฉัตรญา ประทุมกุล,CHATTAYA PRATHUMKUN,Phranakorn Football Club Women,Forward / กองหน้า,2004/6/22,2004,,0
Pa,อลิษา รักพินิจ,ALISA RUKPINIJ,PTU Takhlong,Forward / กองหน้า,1995/2/2,1995,,0
Pae,ธนกร พลคำ,THANAKON PHONKHAM,Chonburi Women FC,Defensive Midfiled / กองกลางตัวรับ,2002/2/18,2002,,0
Pailin,มาทิลดา โมร์เตนส์สัน,MATILDA PAILIN,Varbergs Bols FC,Center back / เซ็นเตอร์,,2005,,0
Pecky,อุไรพร ยงกุล,U-RAIPORN YONGKUL,BGC-College of Asian Scholars,Right Back / เเบ็คขวา,,1998,MF,0
Peem,ธัญชนก จั่นศรี,THANCHANOK JANSRI,Chonburi Women FC,Midfiled / กองกลาง,2004/12/24,2004,MF,0
Pin,พิกุล เขื่อนเพ็ชร,PIKUL KHUEANPET,BGC-College of Asian Scholars,Defensive Midfiled / กองกลางตัวรับ,1988/9/20,1988,MF,0
Plam,ศรัญญา ลามี,SARANYA LAMEE,BGC-College of Asian Scholars,Center back / เซ็นเตอร์,,2004,DF,0
Pleng,ภิญญาพัชญ์ กลิ่นคล้าย,PINYAPHAT KLINKLAI,Nakhonsri Sports School,Center back / เซ็นเตอร์,2008/1/26,2008,,1
Pleng,อนาพร อามันพงษ์,ANAPHON AMANPONG,Chonburi Women FC,Left Wing / ปีกซ้าย,2005/1/20,2005,,0
Pleng,ปาริชาต ทองรอง,PARICHAT THONGRONG,Kasem Bundit,Left Back / เเบ็คซ้าย,2006/5/14,2006,DF,0
Ploy,พลอยชมพู สมนึก,PLOYCHOMPOO SOMNUEK,Bangkok FC,Left Wing / ปีกซ้าย,2002/12/26,2002,FW,2
Praw,ศิริกาญจน์ พยัคเนตร,SIRIKAN PHAYAKNET,Bangkok FC,Defensive Midfiled / กองกลางตัวรับ,1998/6/11,1998,MF,0
Pui,พิสมัย สอนไสย์,PITSAMAI SORNSAI,Taichung Blue Whale,"Forward / กองหน้า,Center back / เซ็นเตอร์",1989/1/19,1989,DF,0
Rooney,จิราภรณ์ มงคลดี,JIRAPORN MONGKOLDEE,Guangxi Pingguo Football Club,Forward / กองหน้า,1998/8/13,1998,FW,2
Rush,รีแอนท์ รัช,Rhianne Rush,Rugby borough WFC,Midfiled / กองกลาง,,2003,MF,0
Sakura,พริมา โอวากิ นิกรณรงค์,PRIMA OWAKI NIKORNNARONG,Phranakorn Women Team,Goalkeeper / ผู้รักษาประตู,2006/5/24,2006,,0
Salah,อรพินท์ แหวนเงิน,ORAPIN WAENNGOEN,BGC-College of Asian Scholars,"Left Wing / ปีกซ้าย,Attacking Midfield / กองกลางตัวรุก",1995/10/7,1995,MF,0
Sangjun,แสงจันทร์ ฮอร์นูเวอร์,SANGJUN MAI HORNEWER,Mariestads Bols FF,Midfiled / กองกลาง,,1998,,0
Siri,อริชา ศิริช่าง,ARICHA SIRICHANG,Mariestads Bols FF,Right Wing / ปีกขวา,,2004,,0
Som-O,ญาดา เซ่งย่อง,YADA SENGYONG,Nakhonsri Sports School,Goalkeeper / ผู้รักษาประตู,1993/9/10,1993,GK,0
Team,กาญจนาพร แสนคุณ,KANJANAPORN SAENKHUN,BGC-College of Asian Scholars,Center back / เซ็นเตอร์,1996/7/18,1996,DF,0
Tee,สกุลการต์ ชุมภูแสง,SAKUNKAN Chompooseang,Kasem Bundit,Center back / เซ็นเตอร์,2005/6/6,2005,DF,0
Tiff,ทิฟฟานี่ ดารุณี สอนเผ่า,Tiffany Darunee Sornpao,Brøndby IF,Goalkeeper / ผู้รักษาประตู,1998/5/22,1998,GK,0
Toey,ธัญชนก ชื่นอารมณ์,THANCHANOK CHEUNAROM,Chonburi Women FC,Center back / เซ็นเตอร์,2006/6/30,2006,DF,2
Tongar,ธวันรัตน์ พรมทองมี,THAWANRAT PROMTHONGMEE,Chonburi Women FC,Attacking Midfield / กองกลางตัวรุก,2004/11/29,2004,MF,5
Tonnam,จุไรพร ใจมูลวงศ์,JULAIPORN JAIMULWONG,Chonburi Women FC,Left Back / เเบ็คซ้าย,,2007,DF,0
VIEW,พรพิรุณ พิลาวัน,PHONPHIRUN PHILAWAN,BGC-College of Asian Scholars,Right Back / เเบ็คขวา,1999/4/8,1999,,0
View,โชติมณี ทองมงคล,CHOTMANEE THONGMONGKOL,Bangkok FC,Goalkeeper / ผู้รักษาประตู,1999/1/12,1999,GK,0
Waew,ชฎานุช ตันติภาธร,CHADANUCH TANTIPATHON,Kasem Bundit,"Forward / กองหน้า,Left Wing / ปีกซ้าย",,2002,FW,0
Yee,เสาวลักษณ์ เพ็งงาม,SAOWALAK PENGNGAM,Taichung Blue Whale,Forward / กองหน้า,1996/11/30,1996,FW,5
Yim,ริญญาภัทร์ มูลดง,Rinyaphat Moondong,Chonburi Women FC,Attacking Midfield / กองกลางตัวรุก,2007/6/19,2007,FW,0
Yumi,กัญญารัตน์ อาอิกว่า,KANYARAT AIKAWA,Phranakorn Football Club Women,Right Back / เเบ็คขวา,,2002,,0